id,timestamp,user_email,method,path,status_code,message,ip,user_agent
1,2025-06-02T18:54:54.837800,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
2,2025-06-02T18:54:57.851160,sakiw92923@nomrista.com,GET,http://localhost:8000/events?page=1&per_page=10,200,,127.0.0.1,python-requests/2.32.3
3,2025-06-02T18:55:00.175640,sakiw92923@nomrista.com,GET,http://localhost:8000/categories,200,,127.0.0.1,python-requests/2.32.3
4,2025-06-02T18:55:03.113746,sakiw92923@nomrista.com,DELETE,http://localhost:8000/events/0KeuQ1fNHqwzVVX1bsZW/comment,200,,127.0.0.1,python-requests/2.32.3
5,2025-06-02T18:55:05.224246,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
6,2025-06-02T18:55:07.275959,sakiw92923@nomrista.com,GET,http://localhost:8000/events?page=1&per_page=10,200,,127.0.0.1,python-requests/2.32.3
7,2025-06-02T18:55:09.605820,sakiw92923@nomrista.com,GET,http://localhost:8000/categories,200,,127.0.0.1,python-requests/2.32.3
8,2025-06-02T18:55:35.089369,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
9,2025-06-02T18:55:37.187395,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
10,2025-06-02T18:55:40.234004,sakiw92923@nomrista.com,GET,http://localhost:8000/events?page=1&per_page=10,200,,127.0.0.1,python-requests/2.32.3
11,2025-06-02T18:55:42.545625,sakiw92923@nomrista.com,GET,http://localhost:8000/categories,200,,127.0.0.1,python-requests/2.32.3
12,2025-06-02T18:55:54.133875,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
13,2025-06-02T18:55:56.197102,sakiw92923@nomrista.com,GET,http://localhost:8000/events?page=1&per_page=10,200,,127.0.0.1,python-requests/2.32.3
14,2025-06-02T18:55:58.520171,sakiw92923@nomrista.com,GET,http://localhost:8000/categories,200,,127.0.0.1,python-requests/2.32.3
15,2025-06-02T18:56:22.237495,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
16,2025-06-02T18:56:24.350922,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
17,2025-06-02T18:56:26.897976,sakiw92923@nomrista.com,GET,http://localhost:8000/events?page=1&per_page=10,200,,127.0.0.1,python-requests/2.32.3
18,2025-06-02T18:56:29.237982,sakiw92923@nomrista.com,GET,http://localhost:8000/categories,200,,127.0.0.1,python-requests/2.32.3
19,2025-06-02T18:57:08.927230,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
20,2025-06-02T19:03:34.650708,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
21,2025-06-03T17:30:09.094806,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
22,2025-06-03T17:35:20.496437,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
23,2025-06-03T17:44:23.719655,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
24,2025-06-04T21:47:05.889443,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
25,2025-06-04T21:47:07.990288,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
26,2025-06-04T21:47:10.580972,sakiw92923@nomrista.com,GET,http://localhost:8000/events?page=1&per_page=10,200,,127.0.0.1,python-requests/2.32.3
27,2025-06-04T21:47:12.973350,sakiw92923@nomrista.com,GET,http://localhost:8000/categories,200,,127.0.0.1,python-requests/2.32.3
28,2025-06-04T21:57:54.628307,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
29,2025-06-04T22:01:45.307533,sakiw92923@nomrista.com,GET,http://localhost:8000/logs,500,,127.0.0.1,python-requests/2.32.3
30,2025-06-08T18:03:16.763877,sakiw92923@nomrista.com,GET,http://localhost:8000/verify-token,200,,127.0.0.1,python-requests/2.32.3
